Country Name,Carbon Monoxide (Index) 2015,Carbon Monoxide 2015,Non-methane Volatile Organic Compounds (VOCs) (Index) 2015,Non-methane Volatile Organic Compounds (VOCs) 2015,NOx (Index) 2015,NOx 2015,PM₁₀ (Index) 2015,PM₁₀ 2015,PM₂.₅ (Index) 2015,PM₂.₅ 2015,SO₂ (Index) 2015,SO₂ 2015
Australia,46.66,2673,306.81,4256,157.22,2548,"","","","",145.46,2263
Austria,43.92,565,40.08,112,67.00,147,77.66,31,65.66,16,19.86,15
Belgium,28.04,396,36.20,119,46.94,192,"",37,"",27,11.63,42
Canada,46.00,5595,64.41,1859,78.27,1894,106.34,7248,82.42,1621,34.39,1054
Chile,"",2048,"",1091,"",183,"",132,"",116,"",138
Czech Republic,48.98,503,46.35,139,22.26,164,"",35,"",23,6.58,123
Denmark,44.06,326,53.67,109,37.78,114,83.38,30,80.92,20,6.00,11
Estonia,59.54,128,35.03,23,39.70,31,"",14,"",9,11.68,32
Europe,34.74,21787,42.29,7391,47.58,8354,"","","","",17.49,4452
Finland,47.35,335,37.91,85,43.58,130,"",32,"",22,16.36,41
France,28.68,2989,25.99,622,42.70,832,47.10,266,39.17,165,11.63,153
Germany,21.43,2678,30.09,1020,41.09,1186,"",221,"",100,6.41,352
Greece,38.48,436,51.40,122,73.32,241,"","","","",25.06,120
Hungary,37.59,458,51.77,139,43.46,123,"",70,"",54,2.92,24
Iceland,202.55,120,40.84,5,80.39,23,"","","","",269.84,57
Ireland,30.92,108,71.18,101,58.16,79,56.08,24,42.67,14,9.52,18
Italy,32.47,2356,43.46,841,37.65,766,65.90,179,72.28,160,6.91,123
Japan,55.54,2503,42.42,889,68.64,1353,"","","","",54.64,678
Latvia,33.89,131,50.40,41,38.56,36,96.38,23,88.42,18,3.62,4
Luxembourg,4.68,22,45.52,10,54.18,22,12.17,2,12.15,2,8.48,1
Netherlands,49.66,563,28.28,138,35.89,208,35.50,26,24.71,12,15.67,30
New Zealand,118.71,710,126.92,179,169.92,158,"","","","",141.55,75
Norway,46.61,385,52.03,157,76.63,153,71.32,37,67.82,28,31.29,16
OECD - Total,36.81,80163,60.05,27327,54.51,25958,"","","","",23.27,12442
Poland,61.96,2401,72.99,531,70.67,714,63.77,221,72.14,125,21.50,690
Portugal,33.53,268,65.45,180,72.04,176,80.03,56,79.54,44,15.32,50
Slovakia,45.66,231,65.66,89,38.83,86,30.98,37,32.38,30,13.58,71
Slovenia,34.07,110,44.55,32,51.83,35,"",13,"",12,2.72,5
Spain,34.34,1642,55.71,584,60.40,909,"",168,"",125,12.68,274
Sweden,41.83,462,45.63,164,46.63,130,67.82,38,53.02,19,18.27,19
Switzerland,23.15,185,25.92,77,44.02,63,66.64,18,47.35,7,16.66,7
Turkey,116.08,2349,118.11,1114,156.07,878,116.34,829,"",382,110.78,1939
United Kingdom,22.25,1641,28.35,835,31.32,914,48.66,145,53.03,105,6.39,236
United States,35.51,46088,59.43,12468,45.70,10432,84.47,21266,70.35,4825,16.17,3384
